rep,concentration,safeguards,capture,trust,market_power,social_diversion,completion,bottom_access
0,0.1,0.2,0.08000000000000002,0.735570669576426,0.276309020655892,0.06535417868280959,0.6520271273938193,0.5730919776452793
0,0.1,0.6,0.04000000000000001,0.752370669576426,0.24750902065589198,0.04055417868280958,0.6587991273938193,0.6193106032759201
0,0.1,0.9,0.009999999999999998,0.764970669576426,0.22590902065589202,0.021954178682809578,0.6638781273938194,0.6540883420989008
0,0.3,0.2,0.24,0.6735442192454644,0.36232724313647796,0.14487183210524382,0.6373122148734802,0.5278891709863793
0,0.3,0.6,0.12,0.7239442192454644,0.27592724313647793,0.07047183210524384,0.6576282148734801,0.6014599056375209
0,0.3,0.9,0.029999999999999992,0.7617442192454644,0.211127243136478,0.014671832105243834,0.6728652148734802,0.6576618830258771
0,0.5,0.2,0.4,0.588828978271622,0.49283190652203673,0.2509974806195541,0.6057149584049161,0.4714976487204969
0,0.5,0.6,0.2,0.672828978271622,0.3488319065220367,0.12699748061955413,0.6395749584049161,0.5698931660584116
0,0.5,0.9,0.04999999999999999,0.735828978271622,0.24083190652203673,0.03399748061955411,0.664969958404916,0.6465340440618474
0,0.7,0.2,0.5599999999999999,0.512154965406986,0.6193080686747836,0.3282734000289254,0.6178884076176127,0.44901619605842297
0,0.7,0.6,0.27999999999999997,0.6297549654069861,0.41770806867478366,0.1546734000289254,0.6652924076176127,0.5738471189809611
0,0.7,0.9,0.06999999999999998,0.717954965406986,0.2665080686747837,0.02447340002892542,0.7008454076176126,0.6730450215728645
0,0.9,0.2,0.7200000000000001,0.4501748920183491,0.7147682825909765,0.4334417225005847,0.5636372929196292,0.3821387854805911
0,0.9,0.6,0.36000000000000004,0.6013748920183491,0.45556828259097637,0.2102417225005847,0.6245852929196293,0.5256828320249325
0,0.9,0.9,0.08999999999999998,0.7147748920183492,0.2611682825909763,0.04284172250058465,0.6702962929196293,0.6425562045331885
1,0.1,0.2,0.08000000000000002,0.7095849052149511,0.2658042941797576,0.0694687690778781,0.6832050995194108,0.5997304370293847
1,0.1,0.6,0.04000000000000001,0.726384905214951,0.23700429417975755,0.044668769077878104,0.6899770995194107,0.646348140703233
1,0.1,0.9,0.009999999999999998,0.7389849052149511,0.21540429417975757,0.0260687690778781,0.6950560995194107,0.6814251880586193
1,0.3,0.2,0.24,0.6516495441687,0.35595727513678216,0.126240924902856,0.6118757217331187,0.5074585796960409
1,0.3,0.6,0.12,0.7020495441687,0.2695572751367821,0.05184092490285601,0.6321917217331186,0.5800525530105927
1,0.3,0.9,0.029999999999999992,0.7398495441687001,0.20475727513678216,0.0,0.6474287217331186,0.6355219593965065
1,0.5,0.2,0.4,0.612423276267349,0.4974336026687656,0.26301077798396977,0.6063677719256968,0.471988564488124
1,0.5,0.6,0.2,0.6964232762673491,0.35343360266876556,0.13901077798396977,0.6402277719256968,0.5704258618913687
1,0.5,0.9,0.04999999999999999,0.7594232762673491,0.24543360266876557,0.04601077798396976,0.6656227719256967,0.647098074943802
1,0.7,0.2,0.5599999999999999,0.5189316425088956,0.6307099392829407,0.3302018295646584,0.5535984961119316,0.40396182607524167
1,0.7,0.6,0.27999999999999997,0.6365316425088956,0.42910993928294067,0.15660182956465837,0.6010024961119315,0.5230323729268707
1,0.7,0.9,0.06999999999999998,0.7247316425088955,0.2779099392829407,0.02640182956465839,0.6365554961119315,0.6179099934655925
1,0.9,0.2,0.7200000000000001,0.4543750911949479,0.7298717711570273,0.45911848934175425,0.5377247849428062,0.3653060202988469
1,0.9,0.6,0.36000000000000004,0.6055750911949479,0.47067177115702713,0.2359184893417542,0.5986727849428062,0.5058649459242582
1,0.9,0.9,0.08999999999999998,0.718975091194948,0.27627177115702706,0.06851848934175414,0.6443837849428062,0.6204994777433166
2,0.1,0.2,0.08000000000000002,0.746212337720832,0.25714304786292236,0.07755804597919583,0.6680847971293149,0.5868116506672867
2,0.1,0.6,0.04000000000000001,0.7630123377208319,0.22834304786292228,0.052758045979195825,0.6748567971293149,0.6332358144705419
2,0.1,0.9,0.009999999999999998,0.7756123377208319,0.2067430478629223,0.03415804597919582,0.679935797129315,0.6681677069229834
2,0.3,0.2,0.24,0.6737481852754192,0.39913671707605974,0.1284426029614116,0.6163679701175384,0.5110667535984068
2,0.3,0.6,0.12,0.7241481852754192,0.3127367170760597,0.05404260296141161,0.6366839701175383,0.5838332292509203
2,0.3,0.9,0.029999999999999992,0.7619481852754193,0.24793671707605974,0.0,0.6519209701175384,0.6394320123903054
2,0.5,0.2,0.4,0.5655680439826294,0.5035997453318514,0.27027034611486805,0.6068739652256643,0.47236922184969954
2,0.5,0.6,0.2,0.6495680439826295,0.35959974533185135,0.14627034611486803,0.6407339652256643,0.5708389156241421
2,0.5,0.9,0.04999999999999999,0.7125680439826294,0.25159974533185137,0.05327034611486803,0.6661289652256643,0.6475354259549739
