jurisdiction_id,archetype,inflation,fiat_liquidity,digital,regulation,trust,local_capacity,external_dependence,inequality,automation,concentration,breadth,income
0,Advanced stable,0.05524488462331029,0.8773018386553892,0.9527725040283889,0.7804786073621096,0.8321455573405374,0.9653543266927653,0.4182400708990054,0.3569692981793563,0.6225652922165106,0.4915376127673476,0.8863674027538815,0.9588294086579497
1,Advanced stable,0.0,0.9625994056551108,0.9244741073286985,0.8252534988673622,0.805012085316793,0.9878811416965846,0.4340420695712112,0.37967581059784766,0.6084569938170619,0.47962732742468506,0.9378562655130431,0.9091005689357089
2,Advanced stable,0.04471911863375677,0.8515134124166576,0.9685942232352073,0.8242778164124326,0.7841306689876202,0.884727550236492,0.44265954647628714,0.3199739578984747,0.6288271289261216,0.5053619562657655,0.9103305413670536,0.9305207717290904
3,Advanced stable,0.09233627257038304,0.9288446124849359,0.9629283485430594,0.7885571347467262,0.7736683852139915,0.8703901132629254,0.41907762174006297,0.3613808561231773,0.6173087297122527,0.45218527310879625,0.9546671069914789,0.9650780135058077
4,Advanced stable,0.013983559717161725,0.8819138696022017,0.9434540995393913,0.7999175725308609,0.8008054437794839,0.9393378979240412,0.43255874317827864,0.2794689666102528,0.6258548799880596,0.5353616136739429,0.9064269680064229,1.0
5,Middle-income pressure,0.282386989959825,0.6121862148342242,0.7962514623852486,0.6901938832624461,0.6976034819295875,0.8043197537677961,0.4872466344529622,0.449249879005998,0.38180883635427854,0.5888134243453049,0.7949478598675529,0.6403757881380154
6,Middle-income pressure,0.2623900763663925,0.6333984756836056,0.7978378505795166,0.6779281388165402,0.7117519253602419,0.8439409740398743,0.47529282590796706,0.4398884125921839,0.3880927682838467,0.564678352631682,0.840580179038922,0.6582725364097017
7,Middle-income pressure,0.306701780951238,0.5934337746001571,0.7892187906438547,0.677071037792771,0.6912356514010751,0.779385064318676,0.4860011328619807,0.4460021898190868,0.41211130582390076,0.5800211794795065,0.813619285578625,0.6186333119224992
8,Middle-income pressure,0.3217685393729907,0.5828558271568077,0.7617435912501413,0.6731176433652086,0.6447472864075795,0.7995169287148689,0.5056646066446436,0.5136513805030704,0.4045849253059316,0.5557786233074585,0.8212614120780584,0.6248408772209705
9,Middle-income pressure,0.34486510075863164,0.5598037823442134,0.7700343273998077,0.6638722490525353,0.6442070020900923,0.8239775114151454,0.5007363815467707,0.46233023820821867,0.38936515789428233,0.5687087184435861,0.8246370077297536,0.6624189997851778
10,High-inflation skilled,0.7151335714831636,0.25224225032261216,0.7085401746772806,0.6238884671372528,0.6480836772083234,0.8276715124225303,0.3614349269638765,0.5004689891371321,0.3253245019798926,0.6296807888532674,0.7788111004001528,0.49315592650424706
11,High-inflation skilled,0.7300291022395745,0.26220170459865033,0.7398381479915366,0.5217998278014165,0.637498480189152,0.8710480751519114,0.40521390671189167,0.4746101533371512,0.311845843090537,0.6150259699789511,0.7789752496014022,0.495127495635969
12,High-inflation skilled,0.7805342932006726,0.29127885098241946,0.7009959759487907,0.5669224881802859,0.6296460561236673,0.8700552027385401,0.38294363762917805,0.5097095870178359,0.358376205912032,0.5861259719959079,0.7924091185275515,0.4871857604303001
13,High-inflation skilled,0.6895295607109417,0.3116180202084008,0.7679140001718496,0.5745631388994118,0.6823093322336662,0.8899962542382662,0.42146172435385315,0.4938809141265996,0.3049146716939349,0.6085098288613737,0.7941854948729156,0.4796245107208975
14,High-inflation skilled,0.7601696593865613,0.2527512278137958,0.7266719606742849,0.58223615587813,0.6070839542138524,0.8775372729214904,0.4136614738264028,0.506652549875063,0.3228524243829284,0.5870132148140021,0.8178349566738103,0.43954812075502764
15,Low-income low-digital,0.35973664355706925,0.39856994878497054,0.3225125553435601,0.4865703441704551,0.5328766142765071,0.5662768549128335,0.583645355368149,0.5807837660147662,0.15533751100019338,0.5860529643538264,0.5602344017335253,0.23747440581776377
16,Low-income low-digital,0.47914487803620043,0.37196333650400254,0.292446340530986,0.5235937628155523,0.5780200305142854,0.5602836918935794,0.577085944624177,0.5375068665560381,0.16647576301824896,0.6230664659768655,0.5286680766220863,0.2263223209582419
17,Low-income low-digital,0.43176019544269834,0.3631328288969602,0.29598728410725994,0.4551488460396745,0.5351547142723252,0.5106689748799091,0.5190866630762181,0.5468461764730547,0.14617011097622298,0.6085479397830241,0.48214578400659225,0.28164259979069695
18,Low-income low-digital,0.3986025312926861,0.3868064492901835,0.30629473734544604,0.44425266626785315,0.5063840533638289,0.553777805436944,0.5752882164154396,0.539072893961977,0.15868214735653025,0.6228982506189914,0.5064683246500344,0.24015970940616932
19,Low-income low-digital,0.4610924552017618,0.3626717060422167,0.32305785102935114,0.45572609082509963,0.5756987976040193,0.5520238011216995,0.5497640348097901,0.5659364940253061,0.15439943437052112,0.5887318718108454,0.5234004567441665,0.32405144050265844
20,Resource-rich concentrated,0.07553623759191255,0.7733804466845217,0.8564650140890867,0.5754621204900683,0.6880362976119843,0.8509164963188545,0.32431731878411,0.6315037593875941,0.5517100382548618,0.8353834034282206,0.8301038062506256,0.8424856822430329
21,Resource-rich concentrated,0.20717087381982058,0.7367906987665142,0.8268869377986743,0.6579294071491196,0.6573530802454661,0.9247878392181903,0.3893912993336593,0.5995364133724705,0.5435243023578377,0.8340413938474733,0.7404324711318263,0.8290618185961841
22,Resource-rich concentrated,0.160601017182209,0.7039546147897897,0.8848918322984872,0.6708645303516905,0.658562805353354,0.8694305882057807,0.25977741564010143,0.6558810062585783,0.5560077822603359,0.8688578877946386,0.7338434802216006,0.825234524073262
23,Resource-rich concentrated,0.16309524077905335,0.7370440348890787,0.8826049891741414,0.6089399101733908,0.6832576409595064,0.8506788636862109,0.31579475660546297,0.5925176595377458,0.5636767196267634,0.810315689615756,0.7612177963454406,0.8206782335448897
24,Resource-rich concentrated,0.17652052129437232,0.7391553365641943,0.8195674131048744,0.6638663451408828,0.6406421366990305,0.8986446701556005,0.30346051736068297,0.5811982785004757,0.4951858329288784,0.8260596016419338,0.7627653989496619,0.8132600667136831
25,Automated transition,0.06090036801560304,0.8556930393729412,0.9652342166249889,0.8315650854325876,0.6836990701489657,0.9706801254110562,0.28275131844079343,0.4561666022842425,0.8337899555014222,0.575383497587428,0.9547973790845022,0.9308862494701354
26,Automated transition,0.10424352668061691,0.8080894397183563,0.9506413425719387,0.8053479729881077,0.6859693789675407,0.9811724344866112,0.2918739727195558,0.43939155511096734,0.810649505215669,0.5919478839002416,0.9161872005834838,0.9200949314083744
27,Automated transition,0.1271130218083176,0.8868502316293967,0.957133443507634,0.8011528643937309,0.6995740853304253,0.9342820138671408,0.3171266104570937,0.4395474578188761,0.7999672640642785,0.602417893508905,0.9168759394796994,0.9273999475215222
28,Automated transition,0.009787512355866043,0.8744097093435287,1.0,0.8401892611746941,0.7113554411024859,0.9767143826768576,0.2924552136368262,0.42823849903238054,0.8100373914006499,0.5620687017394672,0.926351115134466,0.9118743293862468
29,Automated transition,0.001601525389997721,0.8290783843950474,0.9950306732048401,0.8148967485728312,0.7273055050783948,0.9858439754845102,0.3013897496835017,0.5147285394751722,0.8119708233614572,0.5435964862706143,0.9348280177479341,0.93644692250799
