seed,mode,period,crisis,external_connectivity,local_capacity,fiat_settlement,unit_readiness,completion,bottom_access
20000,fiat_only,0,0,0.88,0.8084927501035022,0.7934077841005136,0.0,0.7934077841005136,0.5553854488703595
20000,fiat_only,1,0,0.88,0.8110050106757332,0.738516066972377,0.0,0.738516066972377,0.5169612468806639
20000,fiat_only,2,0,0.88,0.8357541798455927,0.7295944142992843,0.0,0.7295944142992843,0.510716090009499
20000,fiat_only,3,0,0.88,0.8483636856895432,0.7521277172930353,0.0,0.7521277172930353,0.5264894021051246
20000,fiat_only,4,0,0.88,0.8500423777356885,0.7482704731062655,0.0,0.7482704731062655,0.5237893311743859
20000,fiat_only,5,0,0.88,0.8144669079005391,0.766071696823864,0.0,0.766071696823864,0.5362501877767047
20000,fiat_only,6,0,0.88,0.8106123143916412,0.7865294466779083,0.0,0.7865294466779083,0.5505706126745358
20000,fiat_only,7,0,0.88,0.8117645905781862,0.7817399374785706,0.0,0.7817399374785706,0.5472179562349994
20000,fiat_only,8,0,0.88,0.8053983684967881,0.7883142859949506,0.0,0.7883142859949506,0.5518200001964654
20000,fiat_only,9,0,0.88,0.8702633605441975,0.7744382513916869,0.0,0.7744382513916869,0.5421067759741808
20000,fiat_only,10,1,0.12,0.595357465206042,0.09454739823114569,0.0,0.09454739823114566,0.06618317876180198
20000,fiat_only,11,1,0.12,0.5858269468364681,0.09286764821970511,0.0,0.09286764821970506,0.06500735375379357
20000,fiat_only,12,1,0.12,0.5831634090579224,0.1152307336975132,0.0,0.11523073369751324,0.08066151358825924
20000,fiat_only,13,1,0.12,0.6187922691344325,0.1025581770710993,0.0,0.10255817707109927,0.0717907239497695
20000,fiat_only,14,1,0.12,0.5406308877249507,0.11080693636360893,0.0,0.11080693636360894,0.07756485545452625
20000,fiat_only,15,1,0.12,0.567350569468335,0.11643610045006335,0.0,0.11643610045006336,0.08150527031504434
20000,fiat_only,16,1,0.12,0.5566546990775778,0.0900796721024044,0.0,0.09007967210240442,0.06305577047168308
20000,fiat_only,17,1,0.12,0.5888239531873081,0.09644433475875983,0.0,0.0964443347587598,0.06751103433113187
